Day,Month,Year,Obs,Sim
5,6,1952,9.17387,12.12612605
6,6,1952,8.04062,11.11855408
7,6,1952,6.79595,10.27946501
8,6,1952,6.25839,10.14237871
9,6,1952,6.52443,9.715745546
10,6,1952,7.24936,8.830039774
11,6,1952,7.28143,8.134002366
12,6,1952,6.6291,7.79805064
13,6,1952,6.64761,7.552241534
14,6,1952,6.30915,7.302172485
15,6,1952,6.80575,7.064744345
16,6,1952,8.32809,6.996501732
17,6,1952,8.85616,7.446106335
18,6,1952,6.71925,7.888917787
19,6,1952,6.66447,7.79923982
20,6,1952,6.12969,7.418158448
21,6,1952,6.12091,7.736510707
22,6,1952,6.14755,8.005479509
23,6,1952,6.59861,7.447025015
24,6,1952,6.72811,6.608983152
25,6,1952,5.58236,6.348552927
26,6,1952,5.25418,6.246854235
27,6,1952,5.43646,5.950197098
28,6,1952,5.2875,6.019675646
29,6,1952,5.29695,6.408813442
30,6,1952,5.0278,6.297823738
1,7,1952,5.9633,6.062905634
2,7,1952,8.32879,6.273679244
3,7,1952,4.24673,6.216508622
4,7,1952,3.84263,5.743843601
5,7,1952,3.44195,5.454211716
6,7,1952,3.01378,6.168377186
7,7,1952,3.27156,7.076632155
8,7,1952,3.44358,6.850237348
9,7,1952,3.40548,6.047171497
10,7,1952,3.84379,5.524485427
11,7,1952,3.32769,5.202943037
12,7,1952,3.59441,5.101996442
13,7,1952,3.39462,5.091957631
14,7,1952,3.15657,5.132822104
15,7,1952,3.80955,5.123676701
16,7,1952,3.19128,5.029776293
17,7,1952,3.01104,4.919309088
18,7,1952,3.10112,4.80915718
19,7,1952,2.89032,4.693461143
20,7,1952,2.46674,4.583401884
21,7,1952,2.44352,4.484540091
22,7,1952,2.68486,4.394830037
23,7,1952,2.72129,4.311162338
24,7,1952,2.55679,4.230715625
25,7,1952,2.48163,4.158013128
26,7,1952,2.47047,4.093699573
27,7,1952,2.7124,4.034435695
28,7,1952,2.65441,3.983278341
29,7,1952,2.41119,3.938800433
30,7,1952,2.26302,3.898849616
31,7,1952,2.01853,3.895317274
1,8,1952,2.08838,4.25504371
2,8,1952,2.12155,4.686283631
3,8,1952,2.39021,4.675984665
4,8,1952,3.0883,4.551591677
5,8,1952,3.28936,4.386466896
6,8,1952,3.15444,4.25062857
7,8,1952,3.39752,5.26274929
8,8,1952,3.65639,8.843032015
9,8,1952,4.04568,11.62687258
10,8,1952,4.12942,10.92318374
11,8,1952,3.94089,10.37037449
12,8,1952,4.38025,9.858884662
13,8,1952,5.36043,9.407586942
14,8,1952,7.12319,8.841678363
15,8,1952,7.26721,8.093953814
16,8,1952,6.91315,7.217140595
17,8,1952,6.44174,9.403958052
18,8,1952,6.86378,10.61616797
19,8,1952,7.90882,10.01991721
20,8,1952,7.65144,8.570450024
21,8,1952,6.80034,7.463634122
22,8,1952,6.17731,6.678419485
23,8,1952,4.55498,6.170525363
24,8,1952,3.92729,5.849127549
25,8,1952,4.30706,5.811086195
26,8,1952,4.22425,5.664563326
27,8,1952,3.54821,5.353385354
28,8,1952,3.53196,4.992410162
29,8,1952,3.84857,4.695979521
30,8,1952,3.14555,4.570046476
31,8,1952,2.79802,4.475941665
1,9,1952,3.24072,4.305564765
2,9,1952,2.88282,4.289477982
3,9,1952,2.47164,4.315774049
4,9,1952,2.46371,4.301093003
5,9,1952,2.58499,4.230907122
6,9,1952,2.34951,4.122022155
7,9,1952,2.36648,4.021812662
8,9,1952,2.43475,4.040202881
9,9,1952,2.86522,4.179067061
10,9,1952,2.79711,4.109295573
11,9,1952,3.15983,3.873009244
12,9,1952,3.21815,3.613352887
13,9,1952,2.22925,3.451153631
14,9,1952,1.93692,3.395482146
15,9,1952,1.97179,3.382797918
16,9,1952,2.09697,3.37962907
17,9,1952,1.79646,3.455705034
18,9,1952,1.60875,3.452344646
19,9,1952,1.66579,3.342595134
20,9,1952,1.40927,3.418860119
21,9,1952,1.53996,3.588766909
22,9,1952,1.70048,3.610088326
23,9,1952,2.0138,3.533734451
24,9,1952,2.26867,3.465505476
25,9,1952,2.65416,3.479001982
26,9,1952,1.87848,3.455372104
27,9,1952,1.42207,3.423694332
28,9,1952,1.41812,7.64119446
29,9,1952,3.12351,10.04680837
30,9,1952,7.84083,8.429436768
1,10,1952,5.85367,6.139298503
2,10,1952,4.27406,5.298147875
3,10,1952,3.61159,4.812566591
4,10,1952,3.00535,4.486120512
5,10,1952,3.74377,4.244868814
6,10,1952,7.29215,3.996915113
7,10,1952,5.4401,3.815705274
8,10,1952,3.11141,3.806739082
9,10,1952,2.80492,3.894118561
10,10,1952,3.34092,3.872775113
11,10,1952,2.75731,4.109289375
12,10,1952,2.86693,7.286046838
13,10,1952,5.30509,11.2500297
14,10,1952,13.4156,11.17092672
15,10,1952,12.9918,9.119309582
16,10,1952,10.6687,7.815811713
17,10,1952,8.79853,6.940628521
18,10,1952,7.55682,9.348657186
19,10,1952,9.03629,10.25363472
20,10,1952,14.6021,9.657470643
21,10,1952,14.7087,9.268662546
22,10,1952,12.0042,15.74834256
23,10,1952,20.5549,23.40567831
24,10,1952,38.5576,26.01747084
25,10,1952,42.0485,25.40017005
26,10,1952,30.306,27.79689552
27,10,1952,28.0274,37.04230254
28,10,1952,49.2955,45.24264522
29,10,1952,52.1619,47.20905017
30,10,1952,41.8487,48.71681049
31,10,1952,39.1889,47.95400938
1,11,1952,38.4106,46.65130222
2,11,1952,36.4511,46.20039114
3,11,1952,37.8917,48.03671559
4,11,1952,48.5675,66.75559836
5,11,1952,94.2612,74.45676233
6,11,1952,82.3359,74.36162886
7,11,1952,65.7457,63.58837587
8,11,1952,50.1036,54.53039681
9,11,1952,43.4257,45.14588427
10,11,1952,38.5539,38.51757709
11,11,1952,36.3447,33.54358597
12,11,1952,35.4327,33.18781
13,11,1952,34.9418,31.33907409
14,11,1952,35.188,31.09768553
15,11,1952,34.0288,29.96060791
16,11,1952,33.6393,27.68573828
17,11,1952,31.9084,25.27996276
18,11,1952,30.3486,23.06537809
19,11,1952,27.6425,21.0902534
20,11,1952,26.1309,23.65196016
21,11,1952,28.2264,33.29218443
22,11,1952,48.3134,35.82589829
23,11,1952,44.1488,35.05309788
24,11,1952,38.5627,32.53381357
25,11,1952,34.0667,29.51502625
26,11,1952,31.1169,34.94586225
27,11,1952,44.3016,35.62709497
28,11,1952,48.782,34.05611371
29,11,1952,37.9754,31.51787583
30,11,1952,31.1716,28.14834211
1,12,1952,28.8223,24.88011987
2,12,1952,26.1339,22.42305772
3,12,1952,25.0158,20.46988702
4,12,1952,23.9953,18.94811549
5,12,1952,22.7199,17.68071243
6,12,1952,21.3729,19.79744408
7,12,1952,19.7149,21.86487963
8,12,1952,20.186,24.42823287
9,12,1952,22.8094,26.49777719
10,12,1952,29.5796,26.1353814
11,12,1952,29.5632,24.98657695
12,12,1952,28.1493,26.19417301
13,12,1952,28.0178,25.47080281
14,12,1952,26.4774,24.41565414
15,12,1952,26.9627,27.45310215
16,12,1952,27.9269,29.42984902
17,12,1952,38.5637,29.47227736
18,12,1952,36.8637,39.94261968
19,12,1952,49.1688,48.73145421
20,12,1952,71.6501,53.35721199
21,12,1952,77.7979,56.24253486
22,12,1952,74.0727,58.96743222
23,12,1952,80.3071,58.18185448
24,12,1952,76.0929,55.66730208
25,12,1952,69.8805,52.03619196
26,12,1952,63.1637,46.85048709
27,12,1952,55.3276,43.96640672
28,12,1952,52.179,41.92323313
29,12,1952,51.3257,38.726664
30,12,1952,49.0429,36.21513774
31,12,1952,47.9906,33.95398628
1,1,1953,46.1803,31.29473148
2,1,1953,40.5477,28.85050496
3,1,1953,35.7658,26.69552266
4,1,1953,32.8223,26.72606288
5,1,1953,32.1226,29.02388636
